"REF_DATE","GEO","DGUID","Educational qualification","Field of study","Gender","Age group","Status of student in Canada","Characteristics after graduation","Graduate statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Mathematics, computer and information sciences [7]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664687302","1.3.34.1.2.1.4.3","58300","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664687543","1.3.39.1.2.1.4.1","6090","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664687544","1.3.39.1.2.1.4.2","38000","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Architecture, engineering, and related trades [8]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664687545","1.3.39.1.2.1.4.3","53200","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664687786","1.3.47.1.2.1.4.1","720","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664687787","1.3.47.1.2.1.4.2","32000","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Agriculture, natural resources and conservation [9]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664687788","1.3.47.1.2.1.4.3","38500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Health and related fields [10]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664688029","1.3.50.1.2.1.4.1","4860","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Health and related fields [10]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income two years after graduation","2023 constant dollars","449","units","0","v1664688030","1.3.50.1.2.1.4.2","38000","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Health and related fields [10]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Median employment income five years after graduation","2023 constant dollars","449","units","0","v1664688031","1.3.50.1.2.1.4.3","42500","","","","0"
"2018","Canada","2021A11124","Career, technical or professional training certificate","Personal, protective and transportation services [11]","Total, gender","15 to 34 years" ,"Canadian and international students","Graduates reporting employment income","Number of graduates","Number","223","units","0","v1664688272","1.3.56.1.2.1.4.1","2470","","","","0"
